zona,nome,cargo,escore_2020,escore_2024,delta_escore,nep_2020,nep_2024,pedersen,v_entre_blocos,v_dentro_blocos,pct_esq_2020,pct_esq_2024,pct_dir_2020,pct_dir_2024
1,Bela Vista,VEREADOR,5.629445682957239,5.520269672653457,-0.10917601030378155,9.35491392145153,8.462456535659667,0.26779915455122427,0.1441929661970066,0.12360618835421766,40.5,48.300000000000004,59.5,51.199999999999996
2,Perdizes,VEREADOR,5.6474124378537285,5.7066287091444465,0.05921627129071805,8.718515086182586,8.565161567741292,0.2712281822344893,0.15407320347385522,0.11715497876063408,39.5,45.0,60.3,54.699999999999996
3,Santa Ifigênia,VEREADOR,5.994853804166773,6.06186150254315,0.06700769837637655,10.985837369989985,10.391181773698612,0.2789598092135362,0.12290407753411041,0.15605573167942577,33.0,36.0,67.0,63.4
5,Jardim Paulista,VEREADOR,6.055041611430255,6.143114739648752,0.08807312821849678,7.977978418848949,9.238823038318143,0.3141640002374609,0.14897631583365079,0.1651876844038101,31.5,36.6,68.4,63.199999999999996
6,Vila Mariana,VEREADOR,5.959902542786756,5.996591265393961,0.036688722607205015,10.083881963816733,10.181873445052043,0.28949586703059194,0.13197103187676715,0.1575248351538248,33.6,37.9,66.4,61.6
251,Pinheiros,VEREADOR,5.570079430778934,5.534277032512121,-0.03580239826681275,7.363111349370642,7.727922113350106,0.26424722703844256,0.13200140327925905,0.1322458237591835,42.6,49.6,57.300000000000004,50.1
258,Indianópolis,VEREADOR,6.230596011167737,6.392361515790181,0.1617655046224442,9.848181758466348,11.14312161353813,0.3324174135995167,0.15199109014591908,0.18042632345359763,27.1,29.8,72.9,69.89999999999999
346,Butantã,VEREADOR,6.1376495425901245,6.162807908610126,0.02515836602000121,10.493801006751578,10.347639619055059,0.3048843012107592,0.13845640342522247,0.16642789778553674,30.3,34.0,69.7,65.5
1,Bela Vista,PREFEITO 1T,5.026698629815037,5.027663701936114,0.000965072121076993,4.295950926370117,3.41060930738165,0.5721137947646938,0.3190400762371626,0.25307371852753124,47.6,54.6,52.4,45.3
2,Perdizes,PREFEITO 1T,5.115417862228741,5.275030263334034,0.15961240110529307,3.953451236642156,3.8105881882064185,0.5764931981844021,0.3568468112868516,0.21964638689755056,43.800000000000004,49.5,56.2,50.3
3,Santa Ifigênia,PREFEITO 1T,5.267642343102962,5.516443160095245,0.24880081699228285,5.093774737704544,3.769496447181178,0.6719951994656815,0.309847336476085,0.36214786298959656,44.0,42.800000000000004,56.0,57.1
5,Jardim Paulista,PREFEITO 1T,5.417555509839253,5.648896660763977,0.23134115092472385,3.5869951313110517,4.00915405249151,0.6668196297575485,0.43911933323214525,0.22770029652540325,33.7,41.300000000000004,66.3,58.6
6,Vila Mariana,PREFEITO 1T,5.293313489611228,5.481054018623994,0.18774052901276583,4.022095791125282,4.023112344427611,0.6137161228784999,0.37946407327606085,0.234252049602439,39.300000000000004,44.800000000000004,60.8,55.1
251,Pinheiros,PREFEITO 1T,5.037426293321136,5.159698110030183,0.12227181670904663,3.576067330389871,3.8493665427330903,0.5617624478797996,0.3720737597348064,0.18968868814499318,44.4,53.0,55.7,46.9
258,Indianópolis,PREFEITO 1T,5.544017565975982,5.878342778123157,0.33432521214717514,3.784877115432402,3.959965821297443,0.6904390416433236,0.4310523548912802,0.2593866867520434,31.5,35.6,68.4,64.3
346,Butantã,PREFEITO 1T,5.364121062425064,5.561635423064957,0.19751436063989303,4.279362590013493,3.983991264051991,0.6544077046737252,0.37468611827675224,0.279721586396973,37.9,42.4,62.2,57.4
