zona,nome,nep,escore_medio,pct_esq,pct_dir,ano,cargo
1,Bela Vista,7.75596658770428,5.299264129242548,35.34595026046043,43.48848932952445,2016,VEREADOR
2,Perdizes,7.262032537569475,5.372247931581821,35.157013768970025,47.923690485979776,2016,VEREADOR
3,Santa Ifigênia,8.874731278619109,5.422308825880191,31.33831157216956,43.254784475049185,2016,VEREADOR
5,Jardim Paulista,6.4572862328725025,5.902407947120787,27.563440264092936,60.63049668623844,2016,VEREADOR
6,Vila Mariana,7.973808324942067,5.693707127333292,30.19004285379831,53.334147657291766,2016,VEREADOR
251,Pinheiros,6.70408473307222,5.457560987639708,36.7204421049868,51.99196650083354,2016,VEREADOR
258,Indianópolis,7.12114191345827,5.820062482134039,27.020048980947244,58.17027105558092,2016,VEREADOR
346,Butantã,8.093160415777325,5.6408802125592254,28.610338228906183,49.523943695042206,2016,VEREADOR
1,Bela Vista,9.35491392145153,5.629445682957238,40.47350899122535,59.45347211049368,2020,VEREADOR
2,Perdizes,8.718515086182586,5.6474124378537285,39.55863543516026,60.339232193650616,2020,VEREADOR
3,Santa Ifigênia,10.985837369989985,5.994853804166773,32.92979447672187,66.94735225614906,2020,VEREADOR
5,Jardim Paulista,7.977978418848949,6.055041611430255,31.551282428811213,68.40749138667216,2020,VEREADOR
6,Vila Mariana,10.083881963816735,5.959902542786756,33.549163792542466,66.38684627231513,2020,VEREADOR
251,Pinheiros,7.363111349370642,5.570079430778934,42.63832678502851,57.281911908067705,2020,VEREADOR
258,Indianópolis,9.848181758466348,6.230596011167737,27.102699279074535,72.8702893016151,2020,VEREADOR
346,Butantã,10.49380100675158,6.1376495425901245,30.249281511724003,69.7050806063671,2020,VEREADOR
1,Bela Vista,8.462456535659667,5.520269672653456,48.32967208076761,51.1034977292646,2024,VEREADOR
2,Perdizes,8.565161567741292,5.706628709144449,44.945463954460415,54.64053978742885,2024,VEREADOR
3,Santa Ifigênia,10.391181773698612,6.061861502543151,35.98759293460245,63.400340957522374,2024,VEREADOR
5,Jardim Paulista,9.238823038318143,6.143114739648753,36.61444321358865,63.131033391359395,2024,VEREADOR
6,Vila Mariana,10.181873445052043,5.996591265393961,37.899552082340605,61.592490231582964,2024,VEREADOR
251,Pinheiros,7.727922113350106,5.534277032512122,49.54624056622743,50.08110028284562,2024,VEREADOR
258,Indianópolis,11.14312161353813,6.3923615157901805,29.738759105752322,69.97906723603784,2024,VEREADOR
346,Butantã,10.34763961905506,6.162807908610126,34.051252951926365,65.51148643574187,2024,VEREADOR
1,Bela Vista,2.5518023285192246,5.161786926684161,26.928595831909806,57.51378788618283,2016,PREFEITO
2,Perdizes,2.2311168025593973,5.214415767051331,26.68563081417698,62.81062333956929,2016,PREFEITO
3,Santa Ifigênia,2.5827166127994357,5.2683033845525555,22.535616044668885,57.88890257420865,2016,PREFEITO
5,Jardim Paulista,1.8340795365787732,5.421248206258645,20.319386548499217,71.79389176212032,2016,PREFEITO
6,Vila Mariana,2.0238059233571453,5.350100841803766,22.27446177038677,67.63932727187073,2016,PREFEITO
251,Pinheiros,2.2277311006426266,5.138600867482535,29.975132149507015,62.027167189433044,2016,PREFEITO
258,Indianópolis,1.7583534296563885,5.507355455489157,17.23520919088284,74.005498556245,2016,PREFEITO
346,Butantã,2.1959834367441937,5.395743855443427,19.485848902977864,64.74656128885174,2016,PREFEITO
1,Bela Vista,4.295950926370117,5.026698629815037,47.60041364074362,52.39958635925639,2020,PREFEITO
2,Perdizes,3.953451236642155,5.115417862228741,43.7698691030324,56.2301308969676,2020,PREFEITO
3,Santa Ifigênia,5.093774737704544,5.267642343102962,43.99710529489809,56.00289470510192,2020,PREFEITO
5,Jardim Paulista,3.5869951313110504,5.417555509839252,33.720187846714815,66.27981215328518,2020,PREFEITO
6,Vila Mariana,4.022095791125282,5.293313489611228,39.218473200675646,60.78152679932435,2020,PREFEITO
251,Pinheiros,3.576067330389871,5.037426293321136,44.38409422257797,55.61590577742203,2020,PREFEITO
258,Indianópolis,3.7848771154324012,5.544017565975983,31.572592816178688,68.42740718382132,2020,PREFEITO
346,Butantã,4.279362590013493,5.364121062425064,37.864950717055166,62.135049282944834,2020,PREFEITO
1,Bela Vista,3.4106093073816486,5.027663701936114,54.58139711218709,45.284286008297315,2024,PREFEITO
2,Perdizes,3.8105881882064194,5.275030263334034,49.52866680037821,50.355768220585844,2024,PREFEITO
3,Santa Ifigênia,3.769496447181179,5.516443160095245,42.74982978200935,57.09613688874998,2024,PREFEITO
5,Jardim Paulista,4.0091540524915095,5.648896660763977,41.288601802576196,58.649458342287225,2024,PREFEITO
6,Vila Mariana,4.023112344427612,5.481054018623994,44.82098514605625,55.05711318795431,2024,PREFEITO
251,Pinheiros,3.8493665427330903,5.159698110030182,52.992326703847,46.898979050478125,2024,PREFEITO
258,Indianópolis,3.959965821297444,5.878342778123156,35.571325034445955,64.35460620106882,2024,PREFEITO
346,Butantã,3.983991264051992,5.561635423064958,42.43585352058821,57.42553750806561,2024,PREFEITO
